URL,Image name,Twist,Corner pix,Frac OffX,Frac OffY,Error,,,Twist,Corner pix,Frac OffX,Frac OffY
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533085770_1_CALIB.IMG,N1533085770,0.0108,0.13649,-1.325,29.798,1.13859,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533085810_1_CALIB.IMG,N1533085810,0.0116,0.1466,-4.315,29.611,1.20571,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533085850_1_CALIB.IMG,N1533085850,0.0124,0.15671,-9.141,28.289,1.14523,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533085890_1_CALIB.IMG,N1533085890,0.0136,0.17187,-8.543,27.516,1.28772,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533085930_1_CALIB.IMG,N1533085930,0.014,0.17693,0.554,23.334,1.14333,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533085970_1_CALIB.IMG,N1533085970,0.0132,0.16682,-3.567,24.884,1.31364,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533086010_1_CALIB.IMG,N1533086010,0.014,0.17693,-3.229,21.61,1.33277,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533086050_1_CALIB.IMG,N1533086050,0.0152,0.19209,-9.365,21.774,1.29129,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533086090_1_CALIB.IMG,N1533086090,0.0152,0.19209,-5.745,20.704,1.32086,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533086130_1_CALIB.IMG,N1533086130,0.0128,0.16176,-9.434,19.585,1.32444,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533087630_1_CALIB.IMG,N1533087630,0.01,0.12638,-8.526,29.501,1.23914,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533087670_1_CALIB.IMG,N1533087670,0.0092,0.11627,-8.067,28.791,1.11798,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533087710_1_CALIB.IMG,N1533087710,0.0096,0.12132,-8.547,28.182,1.15978,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533087750_1_CALIB.IMG,N1533087750,0.0104,0.13143,-6.545,27.411,1.2509,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533087790_1_CALIB.IMG,N1533087790,0.0108,0.13649,-6.881,27.048,1.15633,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533087830_1_CALIB.IMG,N1533087830,0.0056,0.07077,-6.527,25.779,1.2563,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533087870_1_CALIB.IMG,N1533087870,0.0084,0.10616,-5.681,23.479,1.25739,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533087910_1_CALIB.IMG,N1533087910,0.0112,0.14154,-5.317,20.168,1.18406,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533087950_1_CALIB.IMG,N1533087950,0.0088,0.11121,-5.417,16.722,1.29354,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533087990_1_CALIB.IMG,N1533087990,0.0088,0.11121,-5.522,13.17,1.16337,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533089490_1_CALIB.IMG,N1533089490,0.0108,0.13649,-9.239,0.349,1.19452,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533089530_1_CALIB.IMG,N1533089530,0.0112,0.14154,-9.25,-0.737,0.89799,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533089570_1_CALIB.IMG,N1533089570,0.0116,0.1466,-9.201,-2.09,1.21582,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533089610_1_CALIB.IMG,N1533089610,0.008,0.1011,-7.813,-3.458,1.24214,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533089650_1_CALIB.IMG,N1533089650,0.0132,0.16682,-8.048,-5.046,1.22573,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533089690_1_CALIB.IMG,N1533089690,0.0072,0.09099,-8.534,-6.473,1.31457,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533089730_1_CALIB.IMG,N1533089730,0.0116,0.1466,-8.765,-8.557,1.10356,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533089770_1_CALIB.IMG,N1533089770,0.0132,0.16682,-8.263,-10.769,0.97102,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533089810_1_CALIB.IMG,N1533089810,0.0096,0.12132,-8.774,-12.363,1.38737,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533089850_1_CALIB.IMG,N1533089850,0.0092,0.11627,-8.431,-14.308,1.17274,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533091350_1_CALIB.IMG,N1533091350,0.0076,0.09605,-3.523,-1.781,0.94465,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533091390_1_CALIB.IMG,N1533091390,0.0048,0.06066,-2.119,-3.332,1.13875,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533091430_1_CALIB.IMG,N1533091430,0.0088,0.11121,-4.053,-2.484,0.98099,,,,,,
${PDS3_HOLDINGS_DIR}/calibrated/COISS_2xxx/COISS_2024/data/1533001485_1533946355/N1533091470_1_CALIB.IMG,N1533091470,0.0096,0.12132,-3.606,-2.977,1.12618,,,,,,
