image_id,camera,volume,file_spec,res_kmpx,res_band,face,opening_bin,obs_opening_deg,solar_opening_deg,phase_min_deg,phase_max_deg,ring_rmin_km,ring_rmax_km,regions,n_regions,n_catalog_edges,edge_rms_min_km,edge_rms_max_km,in_spokes_bundle,background,role
N1723616238_1,N,COISS_2076,data/1723604110_1724046535/N1723616238_1.LBL,5.004,5-25,lit,mid,10.37,15.43,5.2,5.6,134271,141592,Keeler_A_outer,1,15,1.01,10.18,False,sky,primary:Keeler_A_outer
N1555486776_1,N,COISS_2031,data/1555449244_1555593613/N1555486776_1.LBL,25.32,25-100,unlit,open,32.93,-12.87,74.1,74.6,126282,154751,Encke+Keeler_A_outer,2,17,0.81,10.18,False,sky,primary:Keeler_A_outer
N1484916091_1,N,COISS_2009,data/1484846724_1485147239/N1484916091_1.LBL,101.283,100-300,lit,near-plane,-5.13,-22.82,97.4,97.9,109686,271254,B_outer_huygens+CassiniDiv_mid+A_inner+Encke+Keeler_A_outer,5,42,0.09,10.18,False,sky,primary:Keeler_A_outer
N1641853869_1,N,COISS_2060,data/1641842917_1642001856/N1641853869_1.LBL,1.789,0-5,unlit,mid,-17.1,2.33,162.2,162.7,72890,75251,C_inner,1,1,0.16,0.16,False,sky,spare:C_inner
N1748914497_1,N,COISS_2083,data/1748912951_1748998308/N1748914497_1.LBL,5.339,5-25,lit,open,35.6,18.73,23.2,23.7,75465,81465,C_inner,1,9,0.11,0.94,False,sky,spare:C_inner
N1573275711_1,N,COISS_2039,data/1573264561_1573275905/N1573275711_1.LBL,72.001,25-100,unlit,near-plane,3.56,-9.84,44.3,44.6,60269,95362,C_inner+C_outer,2,33,0.08,0.94,False,mixed,spare:C_inner
N1573240997_1,N,COISS_2039,data/1573197858_1573242760/N1573240997_1.LBL,133.414,100-300,unlit,near-plane,3.5,-9.84,43.2,43.5,60276,76432,C_inner,1,3,0.14,0.16,False,mixed,spare:C_inner
N1573263994_1,N,COISS_2039,data/1573253264_1573264561/N1573263994_1.LBL,315.443,300-1000,unlit,near-plane,3.54,-9.84,43.7,44.1,60275,84115,C_inner+C_outer,2,10,0.11,0.94,False,mixed,spare:C_inner
N1574016951_1,N,COISS_2039,data/1573971723_1574139696/N1574016951_1.LBL,2.729,0-5,lit,near-plane,-3.64,-9.71,62.5,62.9,87229,93481,C_outer,1,17,0.08,0.76,False,mixed,spare:C_outer
N1632167769_1,N,COISS_2057,data/1631536097_1632169224/N1632167769_1.LBL,11.706,5-25,lit,near-plane,7.81,0.62,10.4,10.9,82136,95301,C_outer,1,23,0.08,0.76,False,sky,spare:C_outer
N1537019964_1,N,COISS_2025,data/1537013395_1537024388/N1537019964_1.LBL,25.781,25-100,unlit,mid,15.06,-15.85,178.0,178.5,81778,99705,C_outer,1,23,0.08,0.76,False,sky,spare:C_outer
W1764696636_1,W,COISS_2086,data/1764684406_1765019615/W1764696636_1.LBL,141.916,100-300,unlit,open,-34.11,20.54,67.4,70.4,60269,117744,C_inner+C_outer+B_inner_feats+B_outer_huygens,4,38,0.08,7.56,False,mixed,spare:C_outer
N1878581678_1,N,COISS_2115,data/1878550039_1878599612/N1878581678_1.LBL,0.808,0-5,lit,open,61.69,26.72,61.9,62.4,102688,103912,B_inner_feats,1,1,0.11,0.11,False,sky,spare:B_inner_feats
N1586711062_1,N,COISS_2044,data/1586693110_1586727382/N1586711062_1.LBL,5.001,5-25,lit,mid,-18.95,-7.48,19.5,20.0,100952,106709,B_inner_feats,1,3,0.11,0.14,False,sky,spare:B_inner_feats
N1477308275_2,N,COISS_2007,data/1477241124_1477309268/N1477308275_2.LBL,25.6,25-100,lit,near-plane,-7.47,-23.59,47.4,47.9,81429,110179,C_outer+B_inner_feats,2,27,0.08,0.76,False,sky,spare:B_inner_feats
W1764696655_1,W,COISS_2086,data/1764684406_1765019615/W1764696655_1.LBL,141.918,100-300,unlit,open,-34.11,20.54,67.4,70.4,60336,117733,C_inner+C_outer+B_inner_feats+B_outer_huygens,4,38,0.08,7.56,False,mixed,spare:B_inner_feats
N1536485154_1,N,COISS_2025,data/1536481558_1536500809/N1536485154_1.LBL,2.361,0-5,lit,mid,-17.34,-15.94,110.8,111.3,115388,118097,B_outer_huygens,1,6,0.45,7.56,False,sky,spare:B_outer_huygens
N1617920398_1,N,COISS_2054,data/1617917998_1618066143/N1617920398_1.LBL,7.039,5-25,lit,open,-52.1,-1.91,83.0,83.4,107480,117965,B_outer_huygens,1,6,0.45,7.56,False,sky,spare:B_outer_huygens
N1556711360_1,N,COISS_2031,data/1556455512_1556712149/N1556711360_1.LBL,25.465,25-100,unlit,mid,19.86,-12.66,62.7,63.1,105491,123907,B_outer_huygens+CassiniDiv_mid+A_inner,3,25,0.09,7.56,False,sky,spare:B_outer_huygens
W1764696672_1,W,COISS_2086,data/1764684406_1765019615/W1764696672_1.LBL,141.919,100-300,unlit,open,-34.11,20.54,67.4,70.5,60272,117741,C_inner+C_outer+B_inner_feats+B_outer_huygens,4,38,0.08,7.56,False,mixed,spare:B_outer_huygens
N1862642919_1,N,COISS_2110,data/1862640829_1862791637/N1862642919_1.LBL,0.675,0-5,lit,open,36.81,26.66,50.1,50.6,118358,119334,CassiniDiv_mid,1,4,0.09,0.25,False,sky,spare:CassiniDiv_mid
N1541557304_1,N,COISS_2026,data/1541532936_1541685658/N1541557304_1.LBL,6.67,5-25,lit,near-plane,-5.08,-15.14,143.4,143.9,105454,121805,B_outer_huygens+CassiniDiv_mid,2,24,0.09,7.56,False,sky,spare:CassiniDiv_mid
N1747231097_1,N,COISS_2082,data/1747004243_1747232837/N1747231097_1.LBL,25.066,25-100,unlit,near-plane,-4.74,18.52,31.5,31.9,117961,184030,CassiniDiv_mid+A_inner+Encke+Keeler_A_outer,4,36,0.09,10.18,False,sky,spare:CassiniDiv_mid
N1575404246_2,N,COISS_2039,data/1575313792_1575487821/N1575404246_2.LBL,3.056,0-5,lit,near-plane,-6.42,-9.47,23.8,24.2,119125,123777,CassiniDiv_mid+A_inner,2,11,0.1,1.14,False,sky,spare:A_inner
N1547772129_1,N,COISS_2028,data/1547690481_1547828349/N1547772129_1.LBL,5.463,5-25,unlit,near-plane,4.25,-14.14,42.8,43.3,115662,131991,B_outer_huygens+CassiniDiv_mid+A_inner,3,25,0.09,7.56,False,sky,spare:A_inner
N1804918917_1,N,COISS_2094,data/1804916225_1804940498/N1804918917_1.LBL,28.798,25-100,lit,near-plane,7.19,24.19,62.6,63.0,120593,153839,A_inner+Encke+Keeler_A_outer,3,18,0.81,10.18,False,sky,spare:A_inner
N1849441813_1,N,COISS_2106,data/1849402227_1849570498/N1849441813_1.LBL,5.824,5-25,unlit,mid,-15.36,26.4,155.8,156.2,123756,133443,Encke,1,1,0.95,0.95,False,sky,spare:Encke
N1771437798_1,N,COISS_2088,data/1771314694_1771937724/N1771437798_1.LBL,25.042,25-100,lit,open,38.05,21.25,104.5,105.0,124172,160222,Encke+Keeler_A_outer,2,17,0.81,10.18,False,sky,spare:Encke
N1863268347_1,N,COISS_2110,data/1863231911_1863269539/N1863268347_1.LBL,0.174,0-5,unlit,near-plane,-5.57,26.67,93.2,93.6,136388,136626,Keeler_A_outer,1,8,1.01,3.62,False,sky,spare:Keeler_A_outer
N1622022571_1,N,COISS_2054,data/1621968663_1622025718/N1622022571_1.LBL,5.229,5-25,unlit,near-plane,3.0,-1.18,37.9,38.4,134986,160769,Keeler_A_outer,1,15,1.01,10.18,False,sky,spare:Keeler_A_outer
N1595508005_1,N,COISS_2047,data/1595478550_1595518992/N1595508005_1.LBL,25.166,25-100,lit,near-plane,-7.0,-5.92,25.8,26.2,122990,158988,Encke+Keeler_A_outer,2,17,0.81,10.18,False,sky,spare:Keeler_A_outer
